RatingID,Symbol,AgencyID,Date,Rating
317,ETR,1,12/18/2013,A
318,ETR,1,12/3/2014,A
319,ETR,1,9/10/2015,A
320,ETR,4,8/17/2016,BBB
321,APD,1,9/26/2013,A
322,APD,1,11/18/2014,A
323,APD,1,8/6/2015,A
324,KSU,4,11/9/2015,BBB
325,EIX,1,9/17/2015,A
326,EIX,1,11/6/2014,A
327,EIX,1,3/28/2014,A
328,EIX,4,8/24/2016,A
329,EIX,1,5/23/2013,BBB
330,EIX,3,3/6/2012,BB
331,EIX,3,6/21/2011,BBB
332,DTE,1,8/1/2014,AA
333,DTE,1,3/18/2014,A
334,DTE,1,10/28/2015,AA
335,DTE,4,6/15/2012,BBB
336,DTE,4,10/25/2016,BBB
337,DTE,4,2/8/2013,BBB
338,NE,1,5/7/2014,BBB
339,NE,4,2/29/2016,B
340,NE,1,5/7/2015,BBB
341,NE,4,3/13/2013,BBB
342,NE,4,12/13/2016,B
343,MU,3,6/25/2015,BB
344,MU,3,4/11/2016,BB
345,MU,3,1/31/2014,BB
346,VOD,4,6/10/2016,BBB
347,MLM,1,1/28/2014,BB
348,MLM,1,2/20/2015,BBB
349,MLM,1,12/21/2015,BBB
350,MAS,2,6/15/2012,BB
351,MAS,4,3/10/2016,BB
352,MAS,2,2/18/2015,BB
353,ENR,1,8/12/2014,BBB
354,ENR,3,5/31/2016,BB
355,MO,4,6/15/2012,BBB
356,MO,4,3/9/2016,A
357,MO,4,10/28/2013,BBB
358,MO,4,9/13/2016,A
359,MO,4,4/30/2013,BBB
360,MO,4,11/10/2014,BBB
361,AMGN,3,9/13/2013,A
362,AMGN,1,4/23/2015,BBB
363,AMGN,2,2/18/2016,BBB
364,AMGN,4,9/10/2012,BBB
365,AMGN,3,8/10/2016,A
366,EQT,1,3/9/2015,BBB
367,EQT,1,11/1/2013,BBB
368,EQT,1,12/22/2015,BB
369,EQT,4,6/15/2012,BBB
370,EQT,4,3/21/2013,BBB
371,EQT,3,4/11/2011,BBB
372,TGT,1,4/7/2014,A
373,TGT,1,1/5/2015,A
374,TGT,4,6/15/2012,A
375,TGT,1,9/25/2015,A
376,TGT,3,4/29/2013,A
377,TGT,3,4/27/2011,A
378,MDT,1,3/17/2015,A
379,MDT,1,3/20/2014,A
380,MDT,1,6/21/2013,A
381,MDT,1,9/29/2015,A
382,CHK,1,12/10/2014,BBB
383,CHK,1,11/17/2015,B
384,CHK,1,3/21/2014,BBB
385,CHK,1,3/12/2013,BBB
386,CHK,3,4/8/2011,B
387,CHK,3,9/29/2016,B
388,CHK,2,6/15/2012,BB
389,CL,1,8/12/2013,AA
390,CL,1,8/11/2015,AA
391,CL,1,2/11/2015,AA
392,CL,2,6/15/2012,AA
393,JBL,3,4/5/2012,BB
394,JBL,1,10/8/2014,BBB
395,JBL,1,1/13/2014,BBB
396,JBL,1,12/22/2015,BBB
397,JBL,3,9/27/2016,BBB
398,JBL,3,12/10/2012,BBB
399,JBL,3,11/3/2010,BB
400,WCN,3,9/28/2016,BBB
401,WCN,3,6/1/2016,BBB
402,WCN,3,6/12/2015,BBB
403,ACHC,3,1/28/2015,B
404,ABB,4,6/15/2012,A
405,ABB,1,8/5/2013,A
406,ABB,1,5/8/2015,A
407,ABB,1,8/12/2015,A
408,BCE,1,8/27/2014,BB
409,BCE,1,11/20/2013,BB
410,BCE,1,5/31/2013,BB
411,BCE,4,6/15/2012,BBB
412,BCE,3,4/4/2011,BBB
413,BCE,1,9/10/2015,BB
414,BCE,5,8/8/2016,BBB
415,TUP,1,5/1/2015,A
416,TUP,1,11/12/2013,A
417,TUP,1,7/23/2015,A
418,TUP,4,3/6/2013,BBB
419,TUP,3,7/25/2016,BBB
420,TUP,3,5/25/2012,BBB
421,K,1,1/6/2014,BBB
422,K,1,9/24/2015,BBB
423,K,2,2/8/2013,BBB
424,MYL,4,5/31/2016,BBB
425,MYL,3,11/15/2016,BBB
426,PNR,1,7/27/2015,A
427,PNR,1,5/19/2014,A
428,PNR,1,2/18/2015,A
429,PH,3,5/24/2012,A
430,PH,1,7/3/2014,AA
431,PH,3,6/28/2016,A
432,PH,3,5/24/2013,A
433,PH,3,6/6/2014,A
434,PH,3,5/31/2011,A
435,PH,3,12/1/2016,A
436,GPN,3,3/10/2016,BBB
437,TIF,2,9/22/2014,A
438,TIF,2,2/1/2016,BBB
439,TIF,3,8/23/2016,BBB
440,IEX,1,4/21/2015,A
441,IEX,1,5/7/2014,A
442,IEX,2,6/15/2012,BBB
443,IEX,1,10/21/2015,A
444,EXC,1,11/13/2014,A
445,EXC,2,3/25/2016,BBB
446,EXC,1,12/11/2013,BBB
447,EXC,3,4/28/2011,BBB
448,EXC,3,11/18/2011,BBB
449,EXC,3,8/24/2012,BBB
450,EXC,3,7/25/2016,BBB
451,RYN,1,8/5/2014,A
452,RYN,1,11/11/2013,A
453,RYN,1,9/18/2015,BBB
454,RYN,4,6/15/2012,BBB
455,NSC,1,9/16/2015,A
456,NSC,1,1/24/2014,A
457,NSC,1,8/1/2014,A
458,NSC,4,6/15/2012,BBB
459,NSC,3,8/3/2012,BBB
460,NSC,3,9/16/2016,BBB
461,OTEX,3,12/14/2016,BB
462,OTEX,3,5/25/2016,BBB
463,OTEX,4,1/28/2015,BBB
464,OTEX,3,9/13/2013,BBB
465,OTEX,3,7/31/2012,BBB
466,OTEX,3,11/10/2011,BBB
467,E,3,1/17/2012,A
468,E,3,2/1/2016,A
469,E,3,7/16/2013,A
470,E,1,11/25/2014,A
471,E,2,7/4/2012,A
472,E,4,9/14/2016,BBB
473,LEN,4,7/21/2016,BB
474,LEN,4,6/15/2012,B
475,LEN,4,6/26/2015,BB
476,LEN,4,2/26/2016,BB
477,LEN,4,10/18/2012,B
478,RAD,1,4/13/2015,B
479,RAD,1,1/3/2014,B
480,RAD,3,10/28/2015,CCC
481,RAD,4,2/27/2013,CCC
482,RAD,3,12/13/2016,B
483,D,1,12/8/2014,A
484,D,1,8/23/2013,A
485,D,1,9/21/2015,A
486,D,1,5/1/2013,A
487,XRX,1,9/6/2013,BB
488,XRX,1,2/12/2015,BB
489,XRX,4,6/15/2012,BBB
490,XRX,1,8/24/2015,BB
491,XRX,4,10/11/2016,BBB
492,THC,1,12/26/2013,B
493,THC,4,5/20/2016,CCC
494,THC,3,11/16/2016,B
495,THC,3,6/26/2013,CCC
496,THC,3,11/4/2011,BB
497,THC,3,8/3/2010,CCC
498,THC,3,9/24/2014,CCC
499,DVA,1,9/25/2013,BB
500,DVA,1,2/20/2015,BB
501,DVA,4,8/14/2012,B
502,DVA,4,6/15/2012,B
503,DVA,1,11/13/2015,BB
504,UGI,1,2/24/2014,BBB
505,UGI,1,12/22/2014,BBB
